",""Framboisier"",""67"""
",""Pâtes Carbonara"",""573"""
Totaux quotidiens
",""Calories"",""2 161"""
",""Mat."",""55 g"""
",""Fibres"",""23 g"""
",""Gluc."",""263 g"""
",""Sodium"",""2 403 mg"""
",""Protéines"",""56 g"""
",""Eau"",""0 ml"""

Mon alimentation 20210102
Repas,Aliments,Calories
Petit-déjeuner
",""Noix de Cajou Grillées au Miel"",""70"""
",""Chocolat"",""59"""
",""Pain complet au son"",""270"""
",""Confiture Figue"",""49"""
",""Beurre"",""35"""
Déjeuner
",""Amandes"",""140"""
",""Chocolat"",""59"""
",""Comté"",""238"""
",""Pâté de foie"",""233"""
",""Pain complet au son"",""270"""
Dîner
",""Yaourt 0% Fraise"",""59"""
",""Pomme"",""52"""
",""Croziflette"",""729"""
Totaux quotidiens
",""Calories"",""2 263"""
",""Mat."",""75 g"""
",""Fibres"",""26 g"""
",""Gluc."",""203 g"""
",""Sodium"",""2 168 mg"""
",""Protéines"",""67 g"""
",""Eau"",""0 ml"""

Mon alimentation 20210103
Repas,Aliments,Calories
Petit-déjeuner
",""Pain complet au son"",""227"""
",""Confiture Figue"",""49"""
",""Chocolat"",""59"""
",""Kiwi"",""34"""
",""Beurre"",""35"""
Déjeuner
",""Chocolat"",""107"""
",""Mayonnaise"",""17"""
",""Galette Frangipane"",""471"""
",""Ketchup"",""15"""
",""Gratin Dauphinois"",""376"""
",""Boeuf (coeur)"",""151"""
",""Cidre de pomme"",""60"""
Dîner
",""Pâtes Carbonara"",""382"""
",""Galette Frangipane"",""471"""
",""Comté"",""99"""
",""Yaourt 0% Fraise"",""59"""
",""Pain complet au son"",""56"""
",""Vinaigrette"",""33"""
Totaux quotidiens
",""Calories"",""2 701"""
",""Mat."",""114 g"""
",""Fibres"",""19 g"""
",""Gluc."",""279 g"""
",""Sodium"",""2 351 mg"""
",""Protéines"",""58 g"""
",""Eau"",""0 ml"""

Mon alimentation 20210104
Repas,Aliments,Calories
Petit-déjeuner
",""Confiture Figue"",""49"""
",""Beurre"",""35"""
",""Pain complet au son"",""281"""
",""Chocolat"",""59"""
",""Pomme"",""52"""
Déjeuner
",""Galette Frangipane"",""471"""
",""Croziflette"",""681"""
",""Yaourt 0% Fraise"",""59"""
",""Pomme"",""52"""
Snack de l'après-midi
",""Brioche Tressée Pépites de Chocolat"",""224"""
",""Orange"",""40"""
Dîner
",""Gratin Dauphinois"",""245"""
",""Amandes"",""175"""
",""Boeuf (coeur)"",""63"""
",""Yaourt 0% Fraise"",""59"""
Totaux quotidiens
",""Calories"",""2 545"""
",""Mat."",""121 g"""
",""Fibres"",""23 g"""
",""Gluc."",""255 g"""
",""Sodium"",""2 762 mg"""
",""Protéines"",""77 g"""
",""Eau"",""0 ml"""

Mon alimentation 20210105
Repas,Aliments,Calories
Petit-déjeuner
",""Chocolat"",""59"""
",""Pain complet au son"",""245"""
",""Beurre"",""35"""
",""Confiture Figue"",""49"""
Déjeuner
",""Croziflette"",""729"""
",""Galette Frangipane"",""471"""
Dîner
",""Yaourt 0% Fraise"",""59"""
",""Pâtes Carbonara"",""325"""
",""Vinaigrette"",""33"""
",""Pain complet au son"",""113"""
",""Oranges"",""62"""
",""Bouchée à la Reine"",""230"""
Totaux quotidiens
",""Calories"",""2 410"""
",""Mat."",""112 g"""
",""Fibres"",""23 g"""
",""Gluc."",""257 g"""
",""Sodium"",""2 584 mg"""
",""Protéines"",""78 g"""
",""Eau"",""0 ml"""

Mon alimentation 20210106
Repas,Aliments,Calories
Petit-déjeuner
",""Oranges"",""62"""
",""Pain complet au son"",""236"""
